route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Ahmedabad-Mumbai,2025-01-20,3.29,+29.5% vs this route's past average,+22.5% vs similar-length routes this week,No (justified),N002,"The freight cost verdict for the Ahmedabad‑Mumbai route in the week of 2025‑01‑20 is justified, with a 29.5 % increase over own history and 22.5 % over similar routes, as supported by note N002 dated 2025‑01‑20, which records a temporary surcharge applied by transporters."
Chennai-Bangalore,2025-02-24,3.58,+31.5% vs this route's past average,+38.7% vs similar-length routes this week,No (justified),N001,"The freight cost verdict for the Chennai‑Bangalore route in the week of 2025‑02‑24 is justified, with costs up 31.5 % versus own history and 38.7 % versus similar routes, as noted in N001 on 2025‑02‑24, which cites forcing longer detours and higher trip costs."
Chennai-Bangalore,2025-03-03,3.48,+22.8% vs this route's past average,+32.0% vs similar-length routes this week,No (justified),N001,"The freight cost verdict for the Chennai‑Bangalore route in the week of 2025‑03‑03 is justified, citing matched note N001 dated 2025‑02‑24 that indicates forcing longer detours and higher trip costs, with costs up 22.8% versus own history and 32.0% versus similar routes."
Chennai-Bangalore,2025-03-10,3.57,+22.1% vs this route's past average,+33.8% vs similar-length routes this week,Yes,,"The freight cost verdict for the Chennai‑Bangalore route in the week of 2025‑03‑10 is unexplained, as noted in N009 on 2025‑03‑17, which reports no cost impact on this route."
Chennai-Bangalore,2025-03-17,3.47,+13.7% vs this route's past average,+33.5% vs similar-length routes this week,Yes,,"The verdict for the Chennai‑Bangalore route in the week of 2025‑03‑17 is unexplained, with a 13.7 % increase versus own history and a 33.5 % increase versus similar routes; note N009 dated 2025‑03‑17 reports no cost impact on this route."
Delhi-Chennai,2024-01-08,2.1,+7.2% vs this route's past average,-0.2% vs similar-length routes this week,Yes,,"For the Delhi‑Chennai route in the week of 2024‑01‑08, the freight cost verdict is unexplained, with a 7.2 % increase versus own history and a 0.2 % decrease versus similar routes. (Note: only 1 prior week(s) of history available for this route, below the usual 8-week baseline.)"
Delhi-Chennai,2024-02-05,2.22,+8.5% vs this route's past average,+7.8% vs similar-length routes this week,Yes,,"The freight cost verdict for the Delhi‑Chennai route in the week of 2024‑02‑05 is unexplained, with costs higher than own history by 8.5% and higher than similar routes by 7.8%. (Note: only 5 prior week(s) of history available for this route, below the usual 8-week baseline.)"
Delhi-Jaipur,2024-11-11,4.17,+35.5% vs this route's past average,+21.0% vs similar-length routes this week,Yes,,"The freight cost for the Delhi‑Jaipur route in the week of 2024‑11‑11 is 35.5 % higher than the company’s own history and 21.0 % higher than similar routes, and the verdict is unexplained."
Delhi-Jaipur,2024-11-18,4.09,+27.6% vs this route's past average,+19.7% vs similar-length routes this week,Yes,,"The freight cost verdict for the Delhi‑Jaipur route in the week of 2024‑11‑18 is unexplained, with costs up 27.6% versus own history and 19.7% versus similar routes."
Delhi-Jaipur,2025-05-05,3.32,+7.5% vs this route's past average,-8.1% vs similar-length routes this week,No (justified),N003,"The freight cost verdict for the Delhi‑Jaipur route on 2025‑05‑05 is justified, as matched note N003 dated 2025‑05‑05 indicates transportation costs are being pushed up across all routes by roughly 5‑7%."
Kolkata-Bhubaneswar,2025-05-26,2.84,+7.5% vs this route's past average,+5.0% vs similar-length routes this week,No (justified),N003,"The freight cost verdict for the Kolkata‑Bhubaneswar route in the week of 2025‑05‑26 is justified, as the +7.5% increase versus own history and +5.0% versus similar routes matches the note N003 dated 2025‑05‑05, which documents a 5‑7% rise in transportation costs across all routes."
Mumbai-Delhi,2025-05-05,2.17,+7.3% vs this route's past average,-1.2% vs similar-length routes this week,No (justified),N003,"The freight cost verdict for the Mumbai‑Delhi route on 2025‑05‑05 is justified, as matched note N003 dated 2025‑05‑05 shows transportation costs across all routes have risen by roughly 5‑7%."
Mumbai-Delhi,2025-05-12,2.28,+11.6% vs this route's past average,+6.7% vs similar-length routes this week,No (justified),N003,"The freight cost verdict for the Mumbai‑Delhi route in the week of 2025‑05‑12 is justified, as the +11.6% rise over own history and +6.7% over similar routes matches the trend noted in N003 (2025‑05‑05), which documented a 5‑7% increase in transportation costs across all routes."
Mumbai-Delhi,2025-06-02,2.26,+7.7% vs this route's past average,+9.4% vs similar-length routes this week,No (justified),N003,"The freight cost verdict for the Mumbai‑Delhi route in the week of 2025‑06‑02 is justified, as matched note N003 dated 2025‑05‑05 shows transportation costs have risen across all routes by roughly 5‑7%."
Mumbai-Pune,2025-06-23,3.76,+6.2% vs this route's past average,+20.6% vs similar-length routes this week,No (justified),N003,"The freight cost verdict for the Mumbai‑Pune route in the week of 2025‑06‑23 is justified, as the +6.2% increase over own history and +20.6% over similar routes matches the trend noted in N003 (2025‑05‑05), which documents a 5‑7% rise in transportation costs across all routes."
Mumbai-Pune,2025-09-15,3.98,+9.2% vs this route's past average,+23.6% vs similar-length routes this week,Yes,,"The freight cost verdict for the Mumbai‑Pune route in the week of 2025‑09‑15 is unexplained, with a 9.2 % increase versus own history and a 23.6 % increase versus similar routes, and note N006 dated 2025‑09‑22 reports no cost impact on this route."
Mumbai-Pune,2025-10-06,3.94,+5.4% vs this route's past average,+22.9% vs similar-length routes this week,Yes,,"The freight cost verdict for the Mumbai‑Pune route in the week of 2025‑10‑06 is unexplained, as noted in N006 (2025‑09‑22), which reports no cost impact on this route."
Mumbai-Pune,2025-10-20,4.1,+7.7% vs this route's past average,+24.8% vs similar-length routes this week,Yes,,"The freight cost verdict for the Mumbai‑Pune route in the week of 2025‑10‑20 is unexplained, as noted in near‑miss note N010 dated 2025‑10‑27, which reports no cost impact on this route."
Mumbai-Pune,2025-10-27,4.07,+5.5% vs this route's past average,+28.3% vs similar-length routes this week,Yes,,"The freight cost verdict for the Mumbai‑Pune route in the week of 2025‑10‑27 is unexplained, even though the cost is 5.5 % higher than own history and 28.3 % higher than similar routes. Note N010 (2025‑10‑27) reports no cost impact on this route."
Mumbai-Pune,2025-11-03,4.2,+7.4% vs this route's past average,+24.1% vs similar-length routes this week,Yes,,"The freight cost verdict for the Mumbai‑Pune route in the week of 2025‑11‑03 is unexplained, with a 7.4 % increase versus own history and a 24.1 % increase versus similar routes. Note N010 dated 2025‑10‑27 reports no cost impact on this route."
Mumbai-Pune,2025-11-10,3.97,-0.1% vs this route's past average,+21.4% vs similar-length routes this week,Yes,,"The freight cost verdict for the Mumbai‑Pune route in the week of 2025‑11‑10 is unexplained, as noted in N010 on 2025‑10‑27, which reports no cost impact on this route."
